BirdID,Experiment,Trial,Correct,,,
KM-RY,Colour assoc.,Probe,N,,,
KM-RY,Colour assoc.,1,N,,,
KM-RY,Colour assoc.,2,Y,,,
KM-RY,Colour assoc.,3,N,,,
KM-RY,Colour assoc.,4,Y,,,
KM-RY,Colour assoc.,5,Y,,,
KM-RY,Colour assoc.,6,N,,,
KM-RY,Colour assoc.,7,N,,,
KM-RY,Colour assoc.,8,Y,,,
KM-RY,Colour assoc.,9,N,,,
KM-RY,Colour assoc.,10,N,,,
KM-RY,Colour assoc.,11,Y,,,
KM-RY,Colour assoc.,12,N,,,
KM-RY,Colour assoc.,13,N,,,
KM-RY,Colour assoc.,14,Y,,,
KM-RY,Colour assoc.,15,N,,,
KM-RY,Colour assoc.,16,N,,,
KM-RY,Colour assoc.,17,N,,,
KM-RY,Colour assoc.,18,N,,,
KM-RY,Colour assoc.,19,N,,,
KM-RY,Colour assoc.,20,Y,,,
KM-RY,Colour assoc.,21,N,,,
KM-RY,Colour assoc.,22,N,,,
KM-RY,Colour assoc.,23,Y,,,
KM-RY,Colour assoc.,24,Y,,,
KM-RY,Colour assoc.,25,Y,,,
KM-RY,Colour assoc.,26,N,,,
KM-RY,Colour assoc.,27,Y,,,
KM-RY,Colour assoc.,28,N,,,
KM-RY,Colour assoc.,29,N,,,
KM-RY,Colour assoc.,30,Y,,,
KM-RY,Colour assoc.,31,Y,,,
KM-RY,Colour assoc.,32,N,,,
KM-RY,Colour assoc.,33,Y,,,
KM-RY,Colour assoc.,34,N,,,
KM-RY,Colour assoc.,35,Y,,,
KM-RY,Colour assoc.,36,Y,,,
KM-RY,Colour assoc.,37,Y,,,
KM-RY,Colour assoc.,38,Y,,,
KM-RY,Colour assoc.,39,Y,,,
KM-RY,Colour assoc.,40,N,,,
KM-RY,Colour assoc.,41,Y,,,
KM-RY,Colour assoc.,42,Y,,,
KM-RY,Colour assoc.,43,Y,,,
KM-RY,Colour assoc.,44,Y,,,
KM-RY,Colour reversal,Probe,Y,,,
KM-RY,Colour reversal,1,N,,,
KM-RY,Colour reversal,2,N,,,
KM-RY,Colour reversal,3,N,,,
KM-RY,Colour reversal,4,N,,,
KM-RY,Colour reversal,5,N,,,
KM-RY,Colour reversal,6,N,,,
KM-RY,Colour reversal,7,Y,,,
KM-RY,Colour reversal,8,Y,,,
KM-RY,Colour reversal,9,Y,,,
KM-RY,Colour reversal,10,N,,,
KM-RY,Colour reversal,11,N,,,
KM-RY,Colour reversal,12,N,,,
KM-RY,Colour reversal,13,Y,,,
KM-RY,Colour reversal,14,N,,,
KM-RY,Colour reversal,15,Y,,,
KM-RY,Colour reversal,16,N,,,
KM-RY,Colour reversal,17,N,,,
KM-RY,Colour reversal,18,Y,,,
KM-RY,Colour reversal,19,Y,,,
KM-RY,Colour reversal,20,Y,,,
KM-RY,Colour reversal,21,N,,,
KM-RY,Colour reversal,22,Y,,,
KM-RY,Colour reversal,23,N,,,
KM-RY,Colour reversal,24,N,,,
KM-RY,Colour reversal,25,Y,,,
KM-RY,Colour reversal,26,Y,,,
KM-RY,Colour reversal,27,N,,,
KM-RY,Colour reversal,28,N,,,
KM-RY,Colour reversal,29,N,,,
KM-RY,Colour reversal,30,N,,,
KM-RY,Colour reversal,31,N,,,
KM-RY,Colour reversal,32,N,,,
KM-RY,Colour reversal,33,Y,,,
KM-RY,Colour reversal,34,N,,,
KM-RY,Colour reversal,35,N,,,
KM-RY,Colour reversal,36,N,,,
KM-RY,Colour reversal,37,N,,,
KM-RY,Colour reversal,38,N,,,
KM-RY,Colour reversal,39,Y,,,
KM-RY,Colour reversal,40,Y,,,
KM-RY,Colour reversal,41,Y,,,
KM-RY,Colour reversal,42,Y,,,
KM-RY,Colour reversal,43,Y,,,
KM-RY,Colour reversal,44,Y,,,
KM-RY,Colour reversal,45,Y,,,
KM-RY,Colour reversal,46,Y,,,
KM-RY,Colour reversal,47,N,,,
KM-RY,Colour reversal,48,Y,,,
KM-RY,Colour reversal,49,N,,,
KM-RY,Colour reversal,50,Y,,,
